Category,Desc,Food ID,Carbs,Cholesterol,Calories,Protein,Sugar ,Saturated Fat,Calcium,Iron,Vitamin B6,Vitamin C
EGG,"EGG,QUAIL,WHOLE,FRESH,RAW",1140,0.41,844,158,13.05,0.409999996,3.557,64,3.65,0.15,0
EGG,"EGG,TURKEY,WHL,FRSH,RAW",1141,1.15,933,171,13.68,0,3.632,99,4.1,0.131,0
EGG SUBSTITUTE,"EGG SUBSTITUTE,FROZEN",1142,3.2,2,160,11.29,3.200000048,1.93,73,1.98,0.133,0.5
EGG SUBSTITUTE,"EGG SUBSTITUTE,LIQUID",1143,0.64,1,84,12,0.639999986,0.659,53,2.1,0.003,0
EGG SUBSTITUTE,"EGG SUBSTITUTE,POWDER",1144,21.8,572,444,55.5,21.79999924,3.766,326,3.16,0.143,0.8
BUTTER,"BUTTER,WITHOUT SALT",1145,0.06,215,717,0.85,0.059999999,51.368,24,0.02,0.003,0
CHEESE,"CHEESE,PARMESAN,SHREDDED",1146,3.41,72,415,37.86,0,17.37,1253,0.87,0.105,0
CHEESE,"CHEESE,PAST PROCESS,AMERICAN,WO/DI NA PO4",1147,1.6,94,375,22.15,0.50999999,19.694,616,0.39,0.071,0
CHEESE,"CHEESE,PAST PROCESS,SWISS,WO/DI NA PO4",1148,2.1,85,334,24.73,0,16.045,772,0.61,0.036,0
CHEESE FD,"CHEESE FD,PAST PROCESS,AMERICAN,W/DI NA PO4",1149,7.29,64,328,19.61,7.429999828,15.443,574,0.84,0.141,0
CHEESE SPRD,"CHEESE SPRD,PAST PROCESS,AMERICAN,W/DI NA PO4",1150,8.73,55,290,16.41,0,13.327,562,0.33,0.117,0
MILK,"MILK,NONFAT,FLUID,WO/ VIT A (FAT FREE OR SKIM)",1151,4.85,2,35,3.41,5.090000153,0.117,123,0.04,0.04,1
MILK,"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",1152,5.49,8,56,3.95,0,1.232,143,0.06,0.046,1.1
MILK,"MILK,CND,EVAP,W/ VIT A",1153,10.04,29,134,6.81,0,4.591,261,0.19,0.05,1.9
MILK,"MILK,DRY,NONFAT,REG,W/ VIT A",1154,51.98,20,362,36.16,51.97999954,0.499,1257,0.32,0.361,6.8
MILK,"MILK,DRY,NONFAT,INST,WO/ VIT A",1155,52.19,18,358,35.1,52.18999863,0.47,1231,0.31,0.345,5.6
CHEESE,"CHEESE,GOAT,HARD TYPE",1156,2.17,105,452,30.52,2.170000076,24.609,895,1.88,0.08,0
CHEESE,"CHEESE,GOAT,SEMISOFT TYPE",1157,2.54,79,364,21.58,2.539999962,20.639,298,1.62,0.06,0
CHEESE,"CHEESE,GOAT,SOFT TYPE",1159,0.89,46,268,18.52,0.889999986,14.575,140,1.9,0.25,0
EGG,"EGG,YOLK,RAW,FRZ,SALTED",1160,1.6,955,274,14,0,7.028,114,3.75,0.261,0
CHEESE SUB,"CHEESE SUB,MOZZARELLA",1161,23.67,0,248,11.47,23.67000008,3.711,610,0.4,0.051,0.1
No Category,CHEESE FONDUE,1163,3.77,45,229,14.23,0,8.721,476,0.39,0.055,0
CHEESE SAU,"CHEESE SAU,PREP FROM RECIPE",1164,5.48,38,197,10.33,0,8.034,311,0.35,0.045,0.6
CHEESE,"CHEESE,MEXICAN,QUESO ANEJO",1165,4.63,105,373,21.44,4.630000114,19.033,680,0.47,0.047,0
CHEESE,"CHEESE,MEXICAN,QUESO ASADERO",1166,2.87,105,356,22.6,2.869999886,17.939,661,0.51,0.053,0
CHEESE,"CHEESE,MEXICAN,QUESO CHIHUAHUA",1167,5.56,105,374,21.56,5.559999943,18.843,651,0.47,0.055,0
CHEESE,"CHEESE,LOFAT,CHEDDAR OR COLBY",1168,1.91,21,173,24.35,0.519999981,4.342,415,0.42,0.045,0
CHEESE,"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",1169,1.91,100,398,24.35,0.49000001,20.768,703,0.72,0.076,0
EGG,"EGG,WHOLE,RAW,FROZEN",1171,1.05,432,148,11.95,0,3.147,59,1.85,0.162,0
EGG,"EGG,WHITE,RAW,FROZEN",1172,1.05,0,47,9.8,0,0,7,0.05,0.004,0
EGG,"EGG,WHITE,DRIED",1173,7.8,0,382,81.1,5.400000095,0,62,0.15,0.036,0
SOUR CREAM,"SOUR CREAM,REDUCED FAT",1178,7,35,181,7,0.300000012,8.7,141,0.06,0.02,0.9
SOUR CREAM,"SOUR CREAM,LIGHT",1179,7.1,35,136,3.5,0.219999999,6.6,141,0.07,0.02,0.9
SOUR CREAM,"SOUR CREAM,FAT FREE",1180,15.6,9,74,3.1,0.389999986,0,125,0,0.02,0
USDA COMMODITY,"USDA COMMODITY,CHS,CHEDDAR,RED FAT",1182,2,56,282,27.2,0.579999983,11.6,905,0.13,0.084,0
YOGURT,"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",1184,7.5,2,47,3.86,7.5,0.116,143,0.12,0.037,1.1
PARMESAN CHS TOPPING,"PARMESAN CHS TOPPING,FAT FREE",1185,40,20,370,40,1.5,3.11,800,5,0.1,0
CHEESE,"CHEESE,CREAM,FAT FREE",1186,7.66,12,105,15.69,5.480000019,0.644,351,0.19,0.05,0
YOGURT,"YOGURT,CHOC,NONFAT MILK",1187,23.53,1,108,3.53,14.97000027,0,88,0.42,0.047,0
No Category,KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,1188,9.2,75,276,12,6.699999809,13.1,359,0.19,0,0.4
No Category,KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,1189,16.2,35,215,16.3,8.199999809,6.4,418,0.16,0,0.4
No Category,KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT,1190,11.7,16,148,22.7,6.699999809,0.7,712,0.05,0,0.2
No Category,KRAFT VELVEETA PAST PROCESS CHS SPRD,1191,9.8,80,303,16.3,8.100000381,14.4,466,0.18,0,0.2
No Category,KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,1192,11.8,42,222,19.6,8.5,7.1,574,0.14,0,0.1
No Category,KRAFT BREAKSTONE'S RED FAT SOUR CRM,1193,6.5,50,152,4.5,6.400000095,7.6,161,0.06,0,1.1
No Category,KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,1194,15.1,9,91,4.7,7.199999809,0.8,141,0.05,0,1.2
No Category,KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT),1195,18.2,9,96,3.8,17.39999962,0.5,125,0.1,0,0
No Category,KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT),1196,21.9,9,108,3.2,19.60000038,0.5,91,0.11,0,0
No Category,KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT),1197,19.9,9,102,3.8,17.20000076,0.5,108,0.13,0,0
No Category,KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T),1198,9.9,5,55,3.4,7.699999809,0.1,95,0.11,0,0.6
CREAM,"CREAM,HALF & HALF,FAT FREE",1199,9,5,59,2.6,5,0.841,96,0,0.062,0.7
No Category,REDDI WIP FAT FREE WHIPPED TOPPING,1200,25,16,149,3,16,2.869,108,0.03,0.123,0
MILK,"MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA",1202,12.13,8,78,2.99,9.550000191,1.177,194,0.24,0.024,0
YOGURT,"YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER",1203,18.6,6,105,4.86,2.900000095,0.909,152,0.07,0.045,0.7
CHEESE,"CHEESE,PARMESAN,DRY GRATED,RED FAT",1204,1.37,88,265,20,0,13.317,1109,0.9,0.049,0
CREAM SUB,"CREAM SUB,FLAV,LIQ",1205,35.07,0,251,0.69,33.04000092,2.635,6,0.59,0.004,0
CREAM SUB,"CREAM SUB,FLAV,POWDERED",1206,75.42,0,495,0,58.00999832,19.446,5,0.63,0.004,0
CHEESE,"CHEESE,PROVOLONE,RED FAT",1208,3.5,55,274,24.7,0.550000012,11.3,756,0.52,0.073,0
CHEESE,"CHEESE,MEXICAN,BLEND,RED FAT",1209,3.41,62,282,24.69,0.560000002,11.58,1146,0.13,0.084,0
EGG MIX,"EGG MIX,USDA CMDTY",1210,23.97,1110,549,35.6,2.460000038,10.305,171,3.23,0.207,0
ALLSPICE,"ALLSPICE,GROUND",2001,72.12,0,263,6.09,0,2.55,661,7.06,0.21,39.2
No Category,ANISE SEED,2002,50.02,0,337,17.6,0,0.586,646,36.96,0.65,21
SPICES,"SPICES,BASIL,DRIED",2003,60.96,0,251,14.37,1.710000038,0.24,2113,42,2.32,61.2
SPICES,"SPICES,BAY LEAF",2004,74.97,0,313,7.61,0,2.28,834,43,1.74,46.5
No Category,CARAWAY SEED,2005,49.9,0,333,19.77,0.639999986,0.62,689,16.23,0.36,21
SPICES,"SPICES,CARDAMOM",2006,68.47,0,311,10.76,0,0.68,383,13.97,0.23,21
No Category,CELERY SEED,2007,41.35,0,392,18.07,0.670000017,2.19,1767,44.9,0.89,17.1
CHERVIL,"CHERVIL,DRIED",2008,49.1,0,237,23.2,0,0.169,1346,31.95,0.93,50
No Category,CHILI POWDER,2009,54.66,0,314,12.26,7.190000057,2.953,278,14.25,3.67,64.1
CINNAMON,"CINNAMON,GROUND",2010,80.59,0,247,3.99,2.170000076,0.345,1002,8.32,0.158,3.8
CLOVES,"CLOVES,GROUND",2011,61.21,0,323,5.98,2.380000114,5.438,646,8.68,0.59,80.8
CORIANDER LEAF,"CORIANDER LEAF,DRIED",2012,52.1,0,279,21.93,7.269999981,0.115,1246,42.46,0.61,566.7
No Category,CORIANDER SEED,2013,54.99,0,298,12.37,0,0.99,709,16.32,0,21
No Category,CUMIN SEED,2014,44.24,0,375,17.81,2.25,1.535,931,66.36,0.435,7.7
No Category,CURRY POWDER,2015,58.15,0,325,12.66,2.75999999,2.237,478,29.59,1.15,11.4
No Category,DILL SEED,2016,55.17,0,305,15.98,0,0.73,1516,16.33,0.25,21
DILL WEED,"DILL WEED,DRIED",2017,55.82,0,253,19.96,0,0.234,1784,48.78,1.71,50
No Category,FENNEL SEED,2018,52.29,0,345,15.8,0,0.48,1196,18.54,0.47,21
No Category,FENUGREEK SEED,2019,58.35,0,323,23,0,1.46,176,33.53,0.6,3
No Category,GARLIC POWDER,2020,72.71,0,332,16.8,24.29999924,0.135,80,2.75,2.94,18
